area,rt,mz_range:min,mz_range:max,charge,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,rt_range:min,rt_range:max,mz,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:similarity_score,spectral_db_matches:n_matching_signals,spectral_db_matches:explained_intensity_percent,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:inchi,spectral_db_matches:neutral_mass,spectral_db_matches:precursor_mz,spectral_db_matches:mz_diff,spectral_db_matches:mz_diff_ppm,spectral_db_matches:rt_absolute_error,spectral_db_matches:entry_id,spectral_db_matches:cas,intensity_range:min,intensity_range:max,feature_group,ion_identities:iin_id,ion_identities:ion_identities,ion_identities:list_size,ion_identities:neutral_mass,ion_identities:partner_row_ids,ion_identities:iin_relationship,ion_identities:consensus_formulas,ion_identities:simple_formulas,id,molecular_networking:net_cluster_id,molecular_networking:net_community_id,molecular_networking:edges,molecular_networking:net_cluster_size,molecular_networking:net_community_size,height,datafile:137_C.mzML:area,datafile:137_C.mzML:rt,datafile:137_C.mzML:mz_range:min,datafile:137_C.mzML:mz_range:max,datafile:137_C.mzML:charge,datafile:137_C.mzML:fragment_scans,datafile:137_C.mzML:rt_ms2_apex_distance,datafile:137_C.mzML:fwhm,datafile:137_C.mzML:rt_range:min,datafile:137_C.mzML:rt_range:max,datafile:137_C.mzML:feature_state,datafile:137_C.mzML:mz,datafile:137_C.mzML:intensity_range:min,datafile:137_C.mzML:intensity_range:max,datafile:137_C.mzML:asymmetry_factor,datafile:137_C.mzML:isotopes,datafile:137_C.mzML:tailing_factor,datafile:137_C.mzML:height,datafile:RSZ_C.mzML:area,datafile:RSZ_C.mzML:rt,datafile:RSZ_C.mzML:mz_range:min,datafile:RSZ_C.mzML:mz_range:max,datafile:RSZ_C.mzML:charge,datafile:RSZ_C.mzML:fragment_scans,datafile:RSZ_C.mzML:rt_ms2_apex_distance,datafile:RSZ_C.mzML:fwhm,datafile:RSZ_C.mzML:rt_range:min,datafile:RSZ_C.mzML:rt_range:max,datafile:RSZ_C.mzML:feature_state,datafile:RSZ_C.mzML:mz,datafile:RSZ_C.mzML:intensity_range:min,datafile:RSZ_C.mzML:intensity_range:max,datafile:RSZ_C.mzML:asymmetry_factor,datafile:RSZ_C.mzML:isotopes,datafile:RSZ_C.mzML:tailing_factor,datafile:RSZ_C.mzML:height
4.89E6,8.5007,300.15872,300.15961,1,1,0.5,1,0,1,0,0,0,0,8.3881,8.5469,300.15889,,,,,,,,,,,,,,,,,3.404E6,6.374E7,64,39,[M+H]+,2,299.15151,678;677,,,,677,4,29,16,32,5,6.374E7,4.89E6,8.5007,300.15872,300.15961,1,1,-0.0416,0.0853,8.3881,8.5469,DETECTED,300.15889,3.404E6,6.374E7,0.5786,3,0.7527,6.374E7,,,,,,,,,,,UNKNOWN,,,,,,,
7.002E5,8.5007,322.14044,322.14072,1,1,0.5,1,0,1,0,0,0,0,8.41,8.5469,322.14063,,,,,,,,,,,,,,,,,1.171E6,9.045E6,64,39,[M+Na]+,2,299.15151,678;677,,,,678,224,-1,0,1,0,9.045E6,7.002E5,8.5007,322.14044,322.14072,1,1,0.0266,0.0973,8.41,8.5469,DETECTED,322.14063,1.171E6,9.045E6,0.6482,2,0.7549,9.045E6,,,,,,,,,,,UNKNOWN,,,,,,,
8.345E5,8.5007,984.47748,984.48138,1,1,0.5,1,0,1,0,0,0,0,8.3881,8.5688,984.48048,,,,,,,,,,,,,,,,,1.563E6,7.259E6,64,,,,,,,,,679,17,24,1,5,5,7.259E6,8.345E5,8.5007,984.47748,984.48138,1,1,-0.019,0.1261,8.3881,8.5688,DETECTED,984.48048,1.563E6,7.259E6,0.6051,4,0.8026,7.259E6,,,,,,,,,,,UNKNOWN,,,,,,,
1.835E6,8.5172,600.28937,600.29102,1,1,0.5,1,0,1,0,0,0,0,8.4291,8.5616,600.29031,,,,,,,,,,,,,,,,,4.029E6,2.374E7,61,40,[M+H-H2O]+,2,617.29331,675;681,,,,681,52,83,1,2,2,2.374E7,,,,,,,,,,,UNKNOWN,,,,,,,,1.835E6,8.5172,600.28937,600.29102,1,1,-0.0171,0.0787,8.4291,8.5616,DETECTED,600.29031,4.029E6,2.374E7,0.6391,4,0.7523,2.374E7
6.851E5,8.5239,440.2536,440.25391,1,1,0.5,1,1,1,0,0,0,0,8.478,8.5688,440.2537,,,,,,,,,,,,,,,,,3.667E6,9.898E6,70,41,[M+H]+,2,439.24636,682;684,,,,682,4,3,19,32,23,9.898E6,6.851E5,8.5239,440.2536,440.25391,1,1,0.0252,0.1665,8.478,8.5688,DETECTED,440.2537,3.667E6,9.898E6,0.9777,5,0.9888,9.898E6,,,,,,,,,,,UNKNOWN,,,,,,,
7.825E5,8.5239,454.26837,454.26926,1,1,0.5,1,0,1,0,0,0,0,8.4318,8.5688,454.26912,,,,,,,,,,,,,,,,,9.066E5,1.109E7,70,42,[M+H]+,2,453.2619,685;683,,,,683,4,3,16,32,23,1.109E7,7.825E5,8.5239,454.26837,454.26926,1,1,0.0058,0.1141,8.4318,8.5688,DETECTED,454.26912,9.066E5,1.109E7,0.6799,2,0.8101,1.109E7,,,,,,,,,,,UNKNOWN,,,,,,,
8.058E5,8.5239,476.25107,476.25144,1,1,0.5,1,0,1,0,0,0,0,8.4318,8.5688,476.25117,,,,,,,,,,,,,,,,,1.216E6,1.078E7,70,42,[M+Na]+,2,453.2619,685;683,,,,685,225,-1,0,1,0,1.078E7,8.058E5,8.5239,476.25107,476.25144,1,1,0.0264,0.1369,8.4318,8.5688,DETECTED,476.25117,1.216E6,1.078E7,0.6425,3,0.7435,1.078E7,,,,,,,,,,,UNKNOWN,,,,,,,
3.614E6,8.5399,295.22595,295.2261,1,1,0.5,1,0,1,0,0,0,0,8.4734,8.5835,295.22606,"Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14 (0.910)","Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14",0.91,51,0.8954,M+H,,CCCCCC(=O)/C=C/C=C\CCCCCCCC(=O)O,"InChI=1S/C18H30O3/c1-2-3-11-14-17(19)15-12-9-7-5-4-6-8-10-13-16-18(20)21/h7,9,12,15H,2-6,8,10-11,13-14,16H2,1H3,(H,20,21)/b9-7-,15-12+",294.22,295.226,0.00006,0.21,,CCMSLIB00003138387,54739309,2.033E7,5.188E7,71,,,,,,,,,691,2,13,6,56,9,5.188E7,,,,,,,,,,,UNKNOWN,,,,,,,,3.614E6,8.5399,295.22595,295.2261,1,1,-0.018,0.0673,8.4734,8.5835,DETECTED,295.22606,2.033E7,5.188E7,0.6563,2,0.8282,5.188E7
2.181E7,8.5399,431.19022,431.19043,1,1,0.5,1,0,1,0,0,0,0,8.4734,8.5835,431.19032,,,,,,,,,,,,,,,,,7.014E7,3.501E8,71,43,[M+H]+,4,430.1829,696;695;694;698,,,,694,7,6,8,17,17,3.501E8,,,,,,,,,,,UNKNOWN,,,,,,,,2.181E7,8.5399,431.19022,431.19043,1,1,-0.0203,0.0845,8.4734,8.5835,DETECTED,431.19032,7.014E7,3.501E8,0.6563,4,0.8282,3.501E8
4.632E6,8.5399,448.21634,448.21698,1,1,0.5,1,0,1,0,0,0,0,8.4291,8.5835,448.21682,,,,,,,,,,,,,,,,,8.69E5,7.016E7,71,43,[M+NH4]+,4,430.1829,696;695;694;698,,,,695,7,6,6,17,17,7.016E7,,,,,,,,,,,UNKNOWN,,,,,,,,4.632E6,8.5399,448.21634,448.21698,1,1,0.024,0.077,8.4291,8.5835,DETECTED,448.21682,8.69E5,7.016E7,0.7393,3,0.8446,7.016E7
1.785E7,8.5399,453.17181,453.17224,1,1,0.5,1,0,1,0,0,0,0,8.4291,8.5835,453.17206,,,,,,,,,,,,,,,,,2.769E6,2.608E8,71,43,[M+Na]+,4,430.1829,696;695;694;698,,,,696,7,6,4,17,17,2.608E8,,,,,,,,,,,UNKNOWN,,,,,,,,1.785E7,8.5399,453.17181,453.17224,1,1,0.0047,0.0813,8.4291,8.5835,DETECTED,453.17206,2.769E6,2.608E8,0.7234,4,0.8403,2.608E8
1.886E7,8.5399,462.28137,462.2851,1,1,0.5,1,0,1,0,0,0,0,8.1606,8.6053,462.28393,,,,,,,,,,,,,,,,,6.339E5,2.239E8,71,44,[M+H]+,2,461.27667,697;708,,,,697,3,8,11,40,14,2.239E8,,,,,,,,,,,UNKNOWN,,,,,,,,1.886E7,8.5399,462.28137,462.2851,1,1,-0.041,0.0799,8.1606,8.6053,DETECTED,462.28393,6.339E5,2.239E8,1.1006,6,0.8658,2.239E8
1.366E6,8.5469,290.26794,290.26883,1,1,0.5,1,0,1,0,0,0,0,8.2317,8.5908,290.26842,,,,,,,,,,,,,,,,,5.646E5,8.426E6,70,,,,,,,,,701,226,-1,0,1,0,8.426E6,1.366E6,8.5469,290.26794,290.26883,1,1,-0.0665,0.1663,8.2317,8.5908,DETECTED,290.26842,5.646E5,8.426E6,0.1446,2,0.5728,8.426E6,,,,,,,,,,,UNKNOWN,,,,,,,
6.282E5,8.5469,379.19833,379.19882,1,1,0.5,1,0,1,0,0,0,0,8.4556,8.616,379.1986,,,,,,,,,,,,,,,,,5.903E5,6.224E6,70,,,,,,,,,702,227,-1,0,1,0,6.224E6,6.282E5,8.5469,379.19833,379.19882,1,1,0.0254,0.142,8.4556,8.616,DETECTED,379.1986,5.903E5,6.224E6,1.0091,2,0.9827,6.224E6,,,,,,,,,,,UNKNOWN,,,,,,,
1.382E6,8.5469,761.42133,761.42609,1,1,0.5,1,0,1,0,0,0,0,8.3881,8.616,761.42565,,,,,,,,,,,,,,,,,1.363E6,1.168E7,70,,,,,,,,,704,228,-1,0,1,0,1.168E7,1.382E6,8.5469,761.42133,761.42609,1,1,-0.0427,0.1043,8.3881,8.616,DETECTED,761.42565,1.363E6,1.168E7,0.4944,3,0.7176,1.168E7,,,,,,,,,,,UNKNOWN,,,,,,,
2.7E6,8.5616,321.2413,321.24228,1,1,0.5,1,0,1,0,0,0,0,8.2724,8.6284,321.24181,DITERPENE DERIV 329 (0.861),DITERPENE DERIV 329,0.861,27,0.6903,[M+H]+,C20H32O3,CC1=CC(=O)CC2C1(C)CCC(C)C2(C)CCC(C)CC(=O)O,"InChI=1S/C20H32O3/c1-13(10-18(22)23)6-8-19(4)14(2)7-9-20(5)15(3)11-16(21)12-17(19)20/h11,13-14,17H,6-10,12H2,1-5H3,(H,22,23)",320.23514,321.24242,-0.00061,-1.9,7.4516,,,1.443E6,1.67E7,71,,,,,,,,,705,2,22,5,56,5,1.67E7,,,,,,,,,,,UNKNOWN,,,,,,,,2.7E6,8.5616,321.2413,321.24228,1,1,0.0241,0.1109,8.2724,8.6284,DETECTED,321.24181,1.443E6,1.67E7,0.2558,2,0.6193,1.67E7
3.183E6,8.5616,382.2579,382.25845,1,1,0.5,1,0,1,0,0,0,0,8.4734,8.6053,382.258,,,,,,,,,,,,,,,,,3.841E6,4.256E7,71,,,,,,,,,706,3,-1,3,40,0,4.256E7,,,,,,,,,,,UNKNOWN,,,,,,,,3.183E6,8.5616,382.2579,382.25845,1,1,-0.0183,0.076,8.4734,8.6053,DETECTED,382.258,3.841E6,4.256E7,0.6631,3,0.8201,4.256E7
2.643E6,8.5616,484.26505,484.2662,1,1,0.5,1,0,1,0,0,0,0,8.4291,8.6053,484.2659,,,,,,,,,,,,,,,,,9.747E5,3.037E7,71,44,[M+Na]+,2,461.27667,697;708,,,,708,229,-1,0,1,0,3.037E7,,,,,,,,,,,UNKNOWN,,,,,,,,2.643E6,8.5616,484.26505,484.2662,1,1,0.0047,0.109,8.4291,8.6053,DETECTED,484.2659,9.747E5,3.037E7,0.5213,3,0.742,3.037E7
5.356E6,8.5688,268.13199,268.13324,1,1,0.5,1,0,1,0,0,0,0,7.9533,8.6378,268.13273,,,,,,,,,,,,,,,,,5.012E5,4.287E7,70,,,,,,,,,710,4,3,15,32,23,4.287E7,5.356E6,8.5688,268.13199,268.13324,1,1,-0.0634,0.1301,7.9533,8.6378,DETECTED,268.13273,5.012E5,4.287E7,0.668,3,0.6774,4.287E7,,,,,,,,,,,UNKNOWN,,,,,,,
2.178E6,8.5688,528.26907,528.26996,1,1,0.5,1,0,1,0,0,0,0,8.4318,8.616,528.2698,,,,,,,,,,,,,,,,,1.477E6,2.48E7,70,45,[M+H]+,2,527.26249,713;712,,,,712,4,3,18,32,23,2.48E7,2.178E6,8.5688,528.26907,528.26996,1,1,-0.0403,0.0873,8.4318,8.616,DETECTED,528.2698,1.477E6,2.48E7,0.4526,3,0.7046,2.48E7,,,,,,,,,,,UNKNOWN,,,,,,,
