row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,137_C.mzML Peak area,RSZ_C.mzML Peak area,
273,623.4117465467817,6.6228395,,,,23,,,,,,,4032665.0,0,
277,765.4855902537942,6.6228395,,,,23,,,,,,,3449374.0,0,
278,898.5496678005552,6.6228395,,,,23,,,,,,,4877920.0,0,
288,507.25940212182314,6.6565003,,,,15,,,,,,,0,5071468.0,
279,426.2379643714864,6.636188,,,,15,,,,,,,0,1257701.2,
280,329.20165158407667,6.645368,,,,23,,,,,,,3904439.2,0,
281,362.212464396526,6.645368,,,,23,,,,,,,2553146.0,0,
282,383.2465567680392,6.645368,,,,23,,,,,,,2877885.0,0,
284,394.7548792212867,6.645368,,,,23,,,,,,,4689539.0,0,
285,449.77858838181515,6.645368,,,,23,,,,,,,3.910512E7,0,
287,657.3964565225139,6.645368,,,,23,,,,,,,1.819548E7,0,
289,485.27502916402875,6.6677017,,,,23,,,,,,,1770061.5,0,
293,528.2894402268001,6.6922765,,,,23,,,,,,,616022.94,0,
294,629.3653308726831,6.6922765,,,,23,,,,,,,4194404.0,0,
296,790.4118864763267,6.714822,,,,23,,,,,,,1.698802E7,0,
298,229.15403538413904,6.73743,,,,23,,,,,,,760444.56,0,
299,351.2203551206906,6.73743,,,,23,,,,,,,1.223254E7,0,
300,564.280760464517,6.73743,,,,23,,,,,,,2356478.2,0,
301,701.4345467362526,6.73743,,,,23,,,,,,,3287948.0,0,
302,523.2907589063258,6.741631,,,,16,,,,,,,0,1477061.1,
307,574.357094380961,6.7600093,,,,23,,,,,,,1921928.0,0,
309,639.3514260016569,6.7600093,,,,23,,,,,,,705878.2,0,
310,396.3251955627743,6.7645454,,,,20,,,,,,,0,1578481.9,
313,976.5124216362818,6.7832613,,,,23,,,,,,,1047085.7,0,
314,581.2687540092656,6.789872,,,,,,,,,,,0,1563677.0,
315,358.2280381002804,6.8054924,,,,22,,,,,,,1574943.2,0,
318,558.3779086477276,6.808716,,,,20,,,,,,,0,1942303.9,
319,850.4920169272134,6.808716,,,,20,,,,,,,0,1611243.0,
306,552.3748066237579,6.7600093,,,,23,,,,,,,2.7594454E8,0,
320,595.7452528008104,6.8272676,,,,18,,,,,,,0,3476926.0,
321,606.7362359558214,6.8272676,,,,18,,,,,,,0,525732.06,
322,450.28816005663595,6.8280673,,,,22,,,,,,,3765240.5,0,
324,826.9768930275418,6.8280673,,,,22,,,,,,,1132312.5,0,
325,714.4169365190887,6.741631,,,,,,,,,,,0,1059522.1,
326,513.2865544214628,6.850269,,,,27,,,,,,,2767070.5,0,
327,550.791963484002,6.8743606,,,,27,,,,,,,1.8982242E7,0,
328,561.7815608955252,6.8743606,,,,27,,,,,,,1585392.5,0,
329,863.427804035494,6.8743606,,,,27,,,,,,,1951532.8,0,
330,493.3261336260049,6.8865466,,,,28,,,,,,,0,2812235.5,
332,601.3151833203831,6.8969374,,,,27,,,,,,,1171485.5,0,
333,715.4387080700474,6.8969374,,,,27,,,,,,,1391001.6,0,
335,887.4640346440589,6.8969374,,,,27,,,,,,,3131953.8,0,
336,722.444974438775,6.9049234,,,,28,,,,,,,0,2108771.0,
337,868.5023420442145,6.9049234,,,,28,,,,,,,0,2.0326836E7,
339,402.73400357204406,6.9194665,,,,27,,,,,,,980571.7,0,
347,754.4497582668238,6.9194665,,,,27,,,,,,,4513256.5,0,
348,309.11709739310066,6.927817,,,,28,,,,,,,0,5686922.0,
349,443.26824471923203,6.927817,,,,28,,,,,,,0,4101860.0,
353,811.4694469134281,6.944112,,,,27,,,,,,,4834391.5,0,
354,895.5019738802631,6.944112,,,,27,,,,,,,1652549.1,0,
355,385.1458110355183,6.950344,,,,28,,,,,,,0,2694976.5,
356,398.34063552488476,6.950344,,,,28,,,,,,,0,8.1047576E7,
357,476.730857360526,6.950344,,,,28,,,,,,,0,1998136.0,
358,401.7624802073315,6.9665246,,,,28,,,,,,,5181405.0,0,
359,428.2516783541581,6.9665246,,,,28,2,[M+H]+,,2,367;359,427.24419,2.9441072E7,0,
